footnote_id,program,calendar_year,program_type,footnote_number,course_code
ENSC_2024_2025_MAJOR_FOOTNOTE_001,ENSC,2024-2025,Major,1,BIOL111
ENSC_2024_2025_MAJOR_FOOTNOTE_001,ENSC,2024-2025,Major,1,BIOL121
ENSC_2024_2025_MAJOR_FOOTNOTE_001,ENSC,2024-2025,Major,1,BIOL180
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM100
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM110
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM111
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM115
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM120
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM121
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM123
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM130
ENSC_2024_2025_MAJOR_FOOTNOTE_002,ENSC,2024-2025,Major,2,CHEM135
ENSC_2024_2025_MAJOR_FOOTNOTE_004,ENSC,2024-2025,Major,4,MATH110
ENSC_2024_2025_MAJOR_FOOTNOTE_008,ENSC,2024-2025,Major,8,CHEM301
ENSC_2024_2025_MAJOR_FOOTNOTE_008,ENSC,2024-2025,Major,8,CHEM302
ENSC_2024_2025_MAJOR_FOOTNOTE_009,ENSC,2024-2025,Major,9,BIOL300
ENSC_2024_2025_MAJOR_FOOTNOTE_009,ENSC,2024-2025,Major,9,MATH200
ENSC_2024_2025_MAJOR_FOOTNOTE_009,ENSC,2024-2025,Major,9,MATH221
ENSC_2024_2025_MAJOR_FOOTNOTE_009,ENSC,2024-2025,Major,9,STAT200
ENSC_2024_2025_MAJOR_FOOTNOTE_009,ENSC,2024-2025,Major,9,STAT201
ENSC_2024_2025_MAJOR_FOOTNOTE_010,ENSC,2024-2025,Major,10,BIOL204
ENSC_2024_2025_MAJOR_FOOTNOTE_010,ENSC,2024-2025,Major,10,BIOL205
