group_id,program,calendar_year,program_type,year_level,concentration_id,concentration_name,concentration_name_raw,aoc_category,is_recommended,label,credits,rule_type,rule_value,course_code
ENSC_2024_2025_MAJOR_001,ENSC,2024-2025,Major,First Year,,,,,False,BIOL_V 121 1,3.0,required_course,,BIOL121
ENSC_2024_2025_MAJOR_002,ENSC,2024-2025,Major,First Year,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,BIOL140
ENSC_2024_2025_MAJOR_002,ENSC,2024-2025,Major,First Year,,,,,False,BIOL_V 180 (or 140) 1,2.0,required_all,,BIOL180
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM111
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM121
ENSC_2024_2025_MAJOR_003,ENSC,2024-2025,Major,First Year,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,CHEM141
ENSC_2024_2025_MAJOR_004,ENSC,2024-2025,Major,First Year,,,,,False,CHEM_V 123 2,4.0,required_course,,CHEM123
ENSC_2024_2025_MAJOR_006,ENSC,2024-2025,Major,First Year,,,,,False,DSCI_V 100,3.0,required_course,,DSCI100
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH100
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH102
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH104
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH120
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH180
ENSC_2024_2025_MAJOR_007,ENSC,2024-2025,Major,First Year,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 4,3.0,choose_n,1,MATH184
