group_id,program,calendar_year,program_type,year_level,requirement_area,option_id,option_name,option_name_raw,theme,is_recommended,label,credits,rule_type,rule_value,rule_subject,include_pattern,exclude_pattern,rule_unit,source_text
ENSC_2026_2027_MAJOR_001,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,BIOL_V 121 1,3.0,required_course,,,,,,BIOL_V 121 1
ENSC_2026_2027_MAJOR_002,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,ENVR_V 100,3.0,required_course,,,,,,ENVR_V 100
ENSC_2026_2027_MAJOR_003,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,CHEM_V 121 (or 111 or 141) 2,4.0,choose_n,1,,,,,CHEM_V 121 (or 111 or 141) 2
ENSC_2026_2027_MAJOR_004,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,SCIE_V 113,3.0,required_course,,,,,,SCIE_V 113
ENSC_2026_2027_MAJOR_005,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,DSCI_V 100,3.0,required_course,,,,,,DSCI_V 100
ENSC_2026_2027_MAJOR_006,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3,3.0,choose_n,1,,,,,MATH_V 100 or 102 or 104 or 180 or 184 or 120 3
ENSC_2026_2027_MAJOR_007,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,MATH_V 101 or 103 or 105 or 121 3,3.0,choose_n,1,,,,,MATH_V 101 or 103 or 105 or 121 3
ENSC_2026_2027_MAJOR_008,ENSC,2026-2027,Major,First Year,Core Requirement,,,,,False,PHYS_V 100-level 4,3.0,level_requirement,,PHYS,100-level,PHYS100;PHYS170,credits,"PHYS_V 100-level 4 | Footnote 4: Chosen from 100-level PHYS_V courses, excluding PHYS_V 100 and PHYS_V 170. Students without Physics 12 must replace 3 credits of electives with PHYS_V 100 before taking any other 100-level PHYS_V course. Students may defer taking any other 100-level PHYS_V course to second year."
ENSC_2026_2027_MAJOR_009,ENSC,2026-2027,Major,First Year,Electives,,,,,False,"Electives 5,6",5.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_MAJOR_010_TOTAL,ENSC,2026-2027,Major,First Year,Credit Total,,,,,False,Total Credits,30.0,year_total_credits,,,,,,Total Credits
ENSC_2026_2027_MAJOR_011,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,"ENVR_V 200 7 , 205, 240",7.0,required_all,,,,,,"ENVR_V 200 7 , 205, 240"
ENSC_2026_2027_MAJOR_012,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,EOSC_V 340,3.0,required_course,,,,,,EOSC_V 340
ENSC_2026_2027_MAJOR_013,ENSC,2026-2027,Major,Second Year,Tools Elective,,,,,False,Tools Elective 8,3.0,choose_n,1,,,,,"Tools Elective 8 | Footnote 8: Tools Elective: One of ATSC_V 303, CHEM_V 211, 311, EOSC_V 211, GEOS_V 270, 309, 370, 373, NRES_V 241, 340, 341. Must be completed before fourth year."
ENSC_2026_2027_MAJOR_014,ENSC,2026-2027,Major,Second Year,Area of Concentration,,,,,False,"Area of Concentration 9,10",6.0,area_of_concentration_credits,,,,,,"Area of Concentration 9,10"
ENSC_2026_2027_MAJOR_015,ENSC,2026-2027,Major,Second Year,Core Requirement,,,,,False,"One of STAT_V 200, 201, BIOL_V 300 11",3.0,choose_n,1,,,,,"One of STAT_V 200, 201, BIOL_V 300 11"
ENSC_2026_2027_MAJOR_016,ENSC,2026-2027,Major,Second Year,Electives,,,,,False,"Electives 5,6",8.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_MAJOR_017_TOTAL,ENSC,2026-2027,Major,Second Year,Credit Total,,,,,False,Total Credits,30.0,year_total_credits,,,,,,Total Credits
ENSC_2026_2027_MAJOR_018,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,"ENVR_V 300, 305, 350, 400, 450",16.0,required_all,,,,,,"ENVR_V 300, 305, 350, 400, 450"
ENSC_2026_2027_MAJOR_019,ENSC,2026-2027,Major,Third and Fourth Years,Core Requirement,,,,,False,EOSC_V 345,3.0,required_course,,,,,,EOSC_V 345
ENSC_2026_2027_MAJOR_020,ENSC,2026-2027,Major,Third and Fourth Years,Complementary Studies,,,,,False,Complementary Studies 12,9.0,complementary_studies_credits,,,,,,Complementary Studies 12
ENSC_2026_2027_MAJOR_021,ENSC,2026-2027,Major,Third and Fourth Years,Electives,,,,,False,"Electives 5,6",17.0,elective_credits,,,,,,"Electives 5,6"
ENSC_2026_2027_MAJOR_022,ENSC,2026-2027,Major,Third and Fourth Years,Area of Concentration,,,,,False,Area of Concentration 9,15.0,area_of_concentration_credits,,,,,,Area of Concentration 9
ENSC_2026_2027_MAJOR_023_TOTAL,ENSC,2026-2027,Major,Third and Fourth Years,Credit Total,,,,,False,Total Credits,60.0,year_total_credits,,,,,,Total Credits
