course_code,status,credits,term,year_taken,grade,percentage,source,override_course_code,override_exclusive_group_id,override_exclusive_requirement_area,override_allow_double_count,override_double_count_groups,override_note
PSYC100,completed,3,2024W1,1,A,86,manual,,,,,,
BIOL112,completed,3,2024W1,1,B+,78,manual,,,,,,
BIOL121,completed,3,2024W1,1,B+,78,manual,,,,,,
CHEM121,completed,4,2024W1,1,A+,99,workday,,,,,,
CHEM123,completed,4,2024W1,1,A+,99,workday,,,,,,
LING101,completed,3,2024W2,1,A+,99,workday,,,,,,
PHYS131,completed,3,2024W2,1,B,73,manual,,,,,,
SCIE113,completed,3,2024W2,1,A-,82,manual,,,,,,
MATH100,completed,3,2024W2,1,B,74,manual,,,,,,
CHEM233,completed,3,2025S,1,B,74,manual,,,,,,
DSCI100,completed,3,2025W1,2,A-,82,manual,,,,,,
ENVR100,completed,3,2025W1,2,A-,81,manual,,,,,,
ENVR200,completed,3,2025W1,2,A,85,workday,,,,,,
ENVR205,completed,1,2025W1,2,A-,80,manual,,,,,,
MATH101,completed,3,2025W1,2,B+,77,manual,,,,,,
BIOL230,completed,3,2025W1,2,B+,78,manual,,,Complementary Studies,,,
BIOL300,completed,3,2025W1,2,B+,78,manual,,,,,,
MICB211,completed,3,2025W1,2,B+,78,manual,,,,,,
SPAN201,completed,3,2025W1,2,B+,78,manual,,,,,,
SPAN202,completed,3,2025W1,2,B+,78,manual,,,,,,
CHEM341,in_progress,3,2026W1,3,,,manual,,,,,,
EOSC345,in_progress,3,2026W1,3,,,manual,,,,,,
ENVR240,in_progress,3,2026W1,3,,,manual,,,,,,
PATH375,in_progress,3,2026W1,3,,,manual,,,Complementary Studies,,,
ENVR300,in_progress,3,2026W1,3,,,manual,,,,,,
EOSC340,in_progress,3,2026W1,3,,,manual,,,,,,
ENVR305,in_progress,1,2026W2,3,,,manual,,,,,,
ENVR350,in_progress,3,2026W2,3,,,manual,,,,,,
SPAN301,in_progress,3,2026W2,3,,,manual,,,,,,
NRES241,in_progress,3,2026W2,3,,,manual,,,,,,
SPPH301,planned,3,2026W2,3,,,manual,,,,,,
ENVR400,planned,6,2027W1,4,,,manual,,,,,,
ENVR450,planned,3,2027W1,4,,,manual,,,,,,
BIOL302,planned,3,2027W1,4,,,manual,,,,,,
SPPH303,planned,3,2027W1,4,,,manual,,,,,,
CHEM301,planned,3,2027W1,4,,,manual,,,Complementary Studies,,,
