course_code,status,credits,term,year_taken,grade,percentage,source,override_course_code,override_exclusive_group_id,override_exclusive_requirement_area,override_allow_double_count,override_double_count_groups,override_note
SCIE113,completed,3,2023W1,1,A,86,manual,,,,,,
BIOL121,completed,3,2023W1,1,B+,78,manual,,,,,,
CHEM121,completed,4,2023W1,1,A+,99,manual,,,,,,
CHEM123,completed,4,2023W2,1,A-,82,manual,,,,,,
DSCI100,completed,3,2023W2,1,A-,82,manual,,,,,,
MATH100,completed,3,2023W1,1,B,74,manual,,,,,,
MATH101,completed,3,2023W2,1,B+,77,manual,,,,,,
PHYS101,completed,3,2023W2,1,B,73,manual,,,,,,
BIOL230,completed,3,2024W1,2,A-,81,manual,,,,,,
CHEM205,completed,3,2024W1,2,B+,78,manual,,,,,,
CHEM211,completed,3,2024W2,2,B+,79,manual,,,,,,
ENVR200,completed,3,2024W1,2,A,85,manual,,,,,,
STAT201,completed,3,2024W2,2,A-,82,manual,,,,,,
BIOL306,completed,3,2025W1,3,A-,82,manual,,,,,,
CHEM301,completed,3,2025W1,3,B+,78,manual,,,,,,
CHEM302,completed,3,2025W2,3,B+,79,manual,,,,,,
ENVR300,completed,3,2025W1,3,A-,82,manual,,,,,,
ENVR449,in_progress,6,2025W2,3,,,manual,,,,,,
EOSC372,completed,3,2025W1,3,A-,83,manual,,,,,,
EOSC373,in_progress,3,2025W2,3,,,manual,,,,,,
ENVR410,planned,3,2026W1,4,,,manual,,,,,,
ENVR420,planned,3,2026W1,4,,,manual,,,,,,
ATSC301,completed,3,2025W1,3,A-,82,manual,,,,,,
ATSC303,completed,3,2025W2,3,B+,79,manual,,,,,,
EOSC222,completed,3,2024W2,2,A-,81,manual,,,,,,
EOSC250,completed,3,2024W2,2,B+,78,manual,,,,,,
EOSC327,planned,3,2026W1,4,,,manual,,,,,,
GEOS306,planned,3,2026W1,4,,,manual,,,,,,
GEOS406,planned,3,2026W2,4,,,manual,,,,,,
ECON371,planned,3,2026W2,4,,,manual,,,,,,
HGSE301,planned,3,2026W2,4,,,manual,,,,,,
